date,adjOpen,adjHigh,adjLow,adjClose,adjVolume,ticker
2015-01-02,24.6947852479,24.7058700784,23.7991309486,24.2380902339,212818504,AAPL
2015-01-05,24.0075257608,24.08733654,23.3690395276,23.555264679,257141964,AAPL
2015-01-06,23.6195566955,23.8168666773,23.1961161728,23.5574816451,263188464,AAPL
2015-01-07,23.7658764573,23.987573066,23.6539196699,23.8878095921,160423736,AAPL
2015-01-08,24.215920573,24.8632746706,24.0984213704,24.8056335523,237458188,AAPL
2015-01-09,24.9785569071,25.1071409402,24.4331832496,24.8322371454,213260396,AAPL
2015-01-12,24.9630381445,24.9696890428,24.1205910313,24.2203545052,198603160,AAPL
2015-01-13,24.7036531123,25.0073774663,24.1449776583,24.4354002157,268367712,AAPL
2015-01-14,24.1737982174,24.4952583001,24.0540820487,24.34228764,195826352,AAPL
2015-01-15,24.3866269618,24.3999287583,23.6461602886,23.681631746,240055984,AAPL
2015-01-16,23.7281880338,23.8501211686,23.3224832398,23.4976235607,314053380,AAPL
2015-01-20,23.9077622869,24.157547856,23.6106888312,24.1028553026,199599628,AAPL
2015-01-21,24.1538455226,24.621625367,24.0030918287,24.2868634878,194303588,AAPL
2015-01-22,24.4442680801,24.9342175854,24.3245519113,24.9186988228,215185636,AAPL
2015-01-23,24.8965291619,25.2179892446,24.7258227732,25.0472828558,185859312,AAPL
2015-01-26,25.2157722785,25.3538005871,25.0073774663,25.0738864489,222459916,AAPL
2015-01-27,24.9231327549,24.9364345515,24.1715812513,24.1959678783,382274996,AAPL
2015-01-28,26.0770636035,26.1868034248,25.5638359542,25.5638359542,585908252,AAPL
2015-01-29,25.787749529,26.4240187961,25.6192601064,26.3597267796,337745728,AAPL
2015-01-30,26.2488784752,26.6035930492,25.9052487317,25.9739746804,334981844,AAPL
2015-02-02,26.1712846622,26.419584864,25.7345423429,26.2998686952,250956400,AAPL
2015-02-03,26.2710481361,26.4018491353,26.0737381543,26.3043026274,207662996,AAPL
2015-02-04,26.2710481361,26.7166583197,26.2287040838,26.5060465414,280598972,AAPL
2015-02-05,26.7122938872,26.7590326117,26.540918564,26.6944886588,168984980,AAPL
2015-02-06,26.7122938872,26.7634839188,26.3628662801,26.4696976504,174826268,AAPL
2015-02-09,26.3851228156,26.6722321233,26.358414973,26.6455242807,155559188,AAPL
2015-02-10,26.7456786904,27.186358093,26.7434530369,27.1574245969,248034024,AAPL
2015-02-11,27.324348613,27.8028641259,27.2642559672,27.7939615117,294247188,AAPL
2015-02-12,28.0565886304,28.3726314343,27.9475316065,28.1456147723,297897864,AAPL
2015-02-13,28.3281183633,28.3281183633,27.9653368349,28.2836052923,217088876,AAPL
2015-02-17,28.3748570878,28.684222931,28.2479948355,28.4505293084,252609620,AAPL
2015-02-18,28.4049034107,28.6619663955,28.3659544736,28.6474996475,179566948,AAPL
2015-02-19,28.5951967891,28.7176077342,28.5618119859,28.5885198284,149449524,AAPL
2015-02-20,28.6263559388,28.822213451,28.4994936865,28.8211006242,195793676,AAPL
2015-02-23,28.9379474355,29.6011921929,28.8578239078,29.6011921929,283896440,AAPL
2015-02-24,29.5878382716,29.7347314058,29.1938975936,29.4164629484,276912520,AAPL
2015-02-25,29.280698082,29.2896006962,28.521750222,28.6641920491,298846984,AAPL
2015-02-26,28.6630792223,29.1271279871,28.1789995755,29.0258607507,365150116,AAPL
2015-02-27,28.9334961284,29.0603583807,28.5417811039,28.590745482,248059388,AAPL
2015-03-02,28.7665721123,28.9958144278,28.5551350252,28.7309616555,192386652,AAPL
2015-03-03,28.7020281594,28.8266647581,28.5083963007,28.7910543013,151265132,AAPL
2015-03-04,28.7331873091,28.8355673723,28.5595863323,28.6085507104,126665360,AAPL
2015-03-05,28.6174533246,28.6552894349,27.9898190239,28.1344865046,226068584,AAPL
2015-03-06,28.5773915607,28.7932799549,28.1011017014,28.176773922,291368240,AAPL
2015-03-09,28.4794628046,28.8377930259,27.8340232756,28.2969592136,354113948,AAPL
2015-03-10,28.1344865046,28.314764442,27.5535909285,27.7116123304,275426328,AAPL
2015-03-11,27.7650280156,27.7694793226,27.1774554788,27.2063889749,275755896,AAPL
2015-03-12,27.2219685498,27.7984128188,27.0706241085,27.6982584091,193450876,AAPL
2015-03-13,27.6871301414,27.908604926,27.2820611956,27.5068522039,207309132,AAPL
2015-03-16,27.5713961568,27.8095410865,27.3466051485,27.8095410865,143497200,AAPL
2015-03-17,28.0209781736,28.3370209775,27.9653368349,28.2747026781,204092416,AAPL
2015-03-18,28.2658000639,28.7465412304,28.1255838904,28.5929711355,261083780,AAPL
2015-03-19,28.6552894349,28.7654815421,28.3548262059,28.3759699146,183237960,AAPL
