date,ticker,action,shares,price,cost,proceeds,pnl,pnl_pct,hold_days
2020-06-22,AAPL,BUY,287,87.0337169188,24978.6767556956,,,,
2020-06-22,TSLA,BUY,377,66.288,24990.575999999997,,,,
2020-06-22,NVDA,BUY,2632,9.4954055061,24991.9072920552,,,,
2020-06-29,AAPL,SELL,287,87.7394546964,,25181.223497866802,202.5467421712019,0.8108785911768425,7.0
2020-06-29,TSLA,SELL,377,67.29,,25368.33,377.75400000000445,1.5115858073859667,7.0
2020-06-29,NVDA,SELL,2632,9.1697305646,,24134.7308460272,-857.1764460279992,-3.4298160440939607,7.0
2020-06-29,AAPL,BUY,284,87.7394546964,24918.005133777602,,,,
2020-06-29,TSLA,BUY,370,67.29,24897.300000000003,,,,
2020-06-29,NVDA,BUY,2718,9.1697305646,24923.3276745828,,,,
2020-07-06,AAPL,SELL,284,90.6666900831,,25749.3399836004,831.334849822797,3.3362817182178093,7.0
2020-07-06,TSLA,SELL,370,91.4386666667,,33832.306666679004,8935.006666679,35.887452320850045,7.0
2020-07-06,NVDA,SELL,2718,9.8068773324,,26655.0925894632,1731.7649148803976,6.948369565619757,7.0
2020-07-06,TSLA,BUY,304,91.4386666667,27797.3546666768,,,,
2020-07-06,NVDA,BUY,2835,9.8068773324,27802.497237353997,,,,
2020-07-13,TSLA,SELL,304,99.804,,30340.416,2543.0613333231995,9.148573178338431,7.0
2020-07-13,NVDA,SELL,2835,10.0191765291,,28404.3654599985,601.8682226445017,2.164799145581287,7.0
2020-07-13,TSLA,BUY,286,99.804,28543.944,,,,
2020-07-13,NVDA,BUY,2853,10.0191765291,28584.710637522297,,,,
2020-07-20,TSLA,SELL,286,109.5333333333,,31326.5333333238,2782.589333323802,9.748440276241437,7.0
2020-07-20,NVDA,SELL,2853,10.4761679926,,29888.5072828878,1303.7966453655026,4.561167898107211,7.0
2020-07-20,TSLA,BUY,270,109.5333333333,29573.999999991003,,,,
2020-07-20,NVDA,BUY,2826,10.4761679926,29605.650747087602,,,,
2020-07-27,TSLA,SELL,270,102.64,,27712.8,-1861.199999991004,-6.293365794250247,7.0
2020-07-27,NVDA,SELL,2826,10.387211639,,29354.260091814,-251.39065527360071,-0.8491306521891984,7.0
2020-07-27,TSLA,BUY,283,102.64,29047.12,,,,
2020-07-27,NVDA,BUY,2800,10.387211639,29084.1925892,,,,
2020-08-03,TSLA,SELL,283,99.0,,28017.0,-1030.119999999999,-3.5463756819953245,7.0
2020-08-03,NVDA,SELL,2800,10.9740245597,,30727.26876716,1643.0761779599998,5.649378688855652,7.0
2020-08-03,TSLA,BUY,295,99.0,29205.0,,,,
2020-08-03,NVDA,BUY,2664,10.9740245597,29234.801427040802,,,,
2020-08-10,TSLA,SELL,295,94.5713333333,,27898.5433333235,-1306.4566666764986,-4.47340067343434,7.0
2020-08-10,NVDA,SELL,2664,11.128265408,,29645.699046912003,410.89761987120073,1.4055085029280923,7.0
2020-08-10,TSLA,BUY,306,94.5713333333,28938.8279999898,,,,
2020-08-10,NVDA,BUY,2607,11.128265408,29011.387918656,,,,
2020-08-10,MSFT,BUY,145,199.1762180871,28880.5516226295,,,,
2020-08-17,TSLA,SELL,306,122.376,,37447.056000000004,8508.228000010204,29.40073454257788,7.0
